epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0799,1.43323,3.22069,1.53099,0.01093,0.99359,0.19676,0.12023,0.90752,3.1309,1.17302,8.75e-05,8.75e-05,8.75e-05
2,15.4177,1.22302,3.02701,1.36827,0.01751,1,0.20905,0.11838,1.1592,3.12167,1.31806,0.000183787,0.000183787,0.000183787
3,18.5055,1.10146,2.83236,1.29463,0.02212,1,0.26539,0.17604,0.94588,3.06006,1.29168,0.000276115,0.000276115,0.000276115
4,23.2097,1.17071,2.68781,1.32334,0.02226,0.99359,0.30882,0.2121,1.02038,2.97244,1.25214,0.000364482,0.000364482,0.000364482
5,26.3808,1.17977,2.51357,1.33938,0.02467,0.99359,0.32428,0.20395,1.07448,2.91909,1.35157,0.00044889,0.00044889,0.00044889
6,29.3313,1.26036,2.4381,1.37272,0.01801,0.99359,0.35232,0.23293,1.05634,2.77411,1.28186,0.000529338,0.000529338,0.000529338
7,32.312,1.25292,2.2609,1.34189,0.01664,0.99359,0.40326,0.25902,1.03377,2.65421,1.37067,0.000605825,0.000605825,0.000605825
8,35.9614,1.22688,2.15581,1.37126,0.27232,0.78251,0.44433,0.3147,1.02571,2.57537,1.3395,0.000678352,0.000678352,0.000678352
9,40.4074,1.24383,2.0833,1.37518,0.68429,0.05574,0.37692,0.19244,1.0704,2.59858,1.39288,0.00074692,0.00074692,0.00074692
10,43.3394,1.21344,2.03217,1.34538,0.6423,0.092,0.45866,0.29507,1.19209,2.48484,1.46472,0.000811528,0.000811528,0.000811528
11,46.2453,1.21194,1.89924,1.30876,0.66524,0.15986,0.38756,0.24252,1.21127,2.53178,1.45544,0.000872175,0.000872175,0.000872175
12,49.0894,1.15673,1.85225,1.28325,0.23913,0.3022,0.32836,0.20236,1.13369,2.31349,1.48647,0.000928863,0.000928863,0.000928863
13,53.4638,1.1738,1.83189,1.28445,0.35867,0.51501,0.43388,0.23766,1.29661,2.0687,1.62435,0.000953,0.000953,0.000953
14,57.443,1.21069,1.93722,1.31933,0.35124,0.62002,0.46788,0.30082,1.08579,1.83647,1.47139,0.00092825,0.00092825,0.00092825
15,60.2918,1.12857,1.8427,1.30529,0.383,0.66197,0.46799,0.28842,1.18402,1.8024,1.45728,0.0009035,0.0009035,0.0009035
16,63.1547,1.1538,1.79682,1.27441,0.53955,0.7103,0.60982,0.3745,1.23594,1.78168,1.54257,0.00087875,0.00087875,0.00087875
17,66.0923,1.17509,1.69979,1.30644,0.52787,0.62256,0.66031,0.40845,1.17334,1.96401,1.51036,0.000854,0.000854,0.000854
18,70.6304,1.13727,1.71307,1.26063,0.58603,0.67129,0.67626,0.40885,1.07043,1.6354,1.35958,0.00082925,0.00082925,0.00082925
19,74.2739,1.17111,1.67039,1.2758,0.66541,0.68931,0.70889,0.47293,1.14584,1.62482,1.33862,0.0008045,0.0008045,0.0008045
20,77.1913,1.15021,1.60134,1.27682,0.58693,0.71803,0.72621,0.48289,1.24534,1.64703,1.39868,0.00077975,0.00077975,0.00077975
21,80.0713,1.13555,1.65339,1.24509,0.5753,0.68506,0.66873,0.44436,1.24012,1.75598,1.36238,0.000755,0.000755,0.000755
22,82.9608,1.13355,1.5335,1.23597,0.63299,0.54688,0.52109,0.3524,1.16726,1.76224,1.32479,0.00073025,0.00073025,0.00073025
23,87.4516,1.10326,1.52737,1.20811,0.52877,0.672,0.6203,0.41944,1.1175,1.72152,1.35537,0.0007055,0.0007055,0.0007055
24,90.7658,1.06861,1.48724,1.22317,0.58499,0.68767,0.7272,0.49442,1.16483,1.74913,1.38787,0.00068075,0.00068075,0.00068075
25,93.7026,1.10011,1.50478,1.23683,0.78048,0.48016,0.71876,0.48255,1.19378,1.54505,1.43948,0.000656,0.000656,0.000656
26,96.5477,1.04499,1.40117,1.22767,0.84659,0.6577,0.79673,0.53788,1.21704,1.45539,1.44078,0.00063125,0.00063125,0.00063125
27,99.722,1.01846,1.38038,1.17441,0.58106,0.70433,0.77294,0.49827,1.38028,1.58179,1.51181,0.0006065,0.0006065,0.0006065
28,104.376,1.06368,1.40723,1.23449,0.60095,0.65692,0.73384,0.45536,1.32675,1.57805,1.43894,0.00058175,0.00058175,0.00058175
29,107.418,1.0454,1.3738,1.21222,0.62173,0.60885,0.717,0.46728,1.20453,1.44257,1.38182,0.000557,0.000557,0.000557
30,110.338,1.00738,1.31099,1.20614,0.71225,0.75491,0.81059,0.53496,1.22354,1.24265,1.35644,0.00053225,0.00053225,0.00053225
31,113.295,1.03062,1.33398,1.17444,0.79829,0.79415,0.84952,0.52135,1.31194,1.2742,1.42253,0.0005075,0.0005075,0.0005075
32,118.228,1.00934,1.33122,1.17039,0.76327,0.78243,0.83424,0.55006,1.16252,1.29429,1.33772,0.00048275,0.00048275,0.00048275
33,123.427,1.00745,1.29862,1.19999,0.80916,0.80991,0.85259,0.54641,1.1528,1.19633,1.32871,0.000458,0.000458,0.000458
34,126.302,1.00552,1.28559,1.19122,0.84043,0.79397,0.88686,0.6249,1.02852,1.07188,1.24213,0.00043325,0.00043325,0.00043325
35,129.239,0.9776,1.22762,1.17418,0.82688,0.83043,0.8969,0.65012,1.07146,1.05167,1.27423,0.0004085,0.0004085,0.0004085
36,132.119,0.88645,1.17519,1.12895,0.80356,0.83818,0.89994,0.63986,1.0436,1.06921,1.28862,0.00038375,0.00038375,0.00038375
37,135.814,0.94771,1.18082,1.14086,0.77755,0.83087,0.88794,0.6316,1.00848,1.13075,1.29261,0.000359,0.000359,0.000359
38,140.674,0.94117,1.17119,1.16521,0.75561,0.84919,0.88809,0.62867,1.03285,1.18628,1.28483,0.00033425,0.00033425,0.00033425
39,143.511,0.96574,1.20106,1.15462,0.77971,0.80241,0.85064,0.58699,1.07662,1.20387,1.28887,0.0003095,0.0003095,0.0003095
40,146.427,0.91266,1.16294,1.13792,0.8562,0.76205,0.84757,0.59234,1.09458,1.11742,1.3004,0.00028475,0.00028475,0.00028475
41,151.247,0.82787,1.23288,1.11611,0.77997,0.80915,0.83732,0.59354,1.08236,1.07215,1.28167,0.00026,0.00026,0.00026
42,156.184,0.76548,1.18495,1.08275,0.76803,0.82446,0.83865,0.58253,1.10745,1.11029,1.30677,0.00023525,0.00023525,0.00023525
43,159.22,0.75468,1.06497,1.06801,0.78113,0.8022,0.8636,0.62113,1.06977,1.15943,1.27516,0.0002105,0.0002105,0.0002105
44,162.155,0.74573,1.06153,1.03565,0.85746,0.81877,0.90153,0.64006,1.03483,1.10172,1.25308,0.00018575,0.00018575,0.00018575
45,164.902,0.73169,1.04868,1.04428,0.86911,0.84516,0.91803,0.63846,1.04059,1.08196,1.25891,0.000161,0.000161,0.000161
46,168.355,0.75068,1.04111,1.05898,0.79591,0.93108,0.91784,0.63098,1.06368,1.08438,1.27301,0.00013625,0.00013625,0.00013625
47,173.019,0.7483,1.01296,1.08688,0.91667,0.82325,0.91736,0.64844,1.08186,1.08599,1.29623,0.0001115,0.0001115,0.0001115
48,175.951,0.72541,1.00543,1.0462,0.87846,0.85692,0.90352,0.64114,1.07957,1.07348,1.27933,8.675e-05,8.675e-05,8.675e-05
49,178.781,0.67673,0.97733,1.00402,0.90744,0.84841,0.90027,0.64753,1.06121,1.05649,1.25807,6.2e-05,6.2e-05,6.2e-05
50,181.534,0.67725,0.96389,1.04215,0.91526,0.84259,0.89818,0.64967,1.05517,1.04983,1.258,3.725e-05,3.725e-05,3.725e-05
